Item ,Class,Word,Desc,Level,Tran
1,Animals,Breed,"If animals breed, they produce babies.",B2,"Procriar, Reproduzir-se"
2,Animals,Brood,a group of young birds all born at the same time.,none ,Ninhada
3,Animals,Cattle,cows and bulls that are kept for their milk or meat,B1,Gado
4,Animals,Cohort,"a group of people who share characteristic, usually age",none,Grupo
5,Animals,Cub,"the young of particular wild animals, such as bears and lions",None,Filhote
6,Animals,Drone,a male bee,none ,Zangão
7,Animals,Grizzly,"a very large, greyish-brown bear from North America",none ,Urso-pardo
8,Animals,Hatch,o (cause an egg to) break in order to allow a young animal to come out.,none ,Chocar
9,Animals,Lizard,"a small reptile that has a long body, four short legs, a long tail, and thick skin.",none ,Lagarto
10,Animals,Mammoth,prehistoric animal now extinct similar in shape to an elephant ,none ,Mamute
11,Animals,Prey,an animal that is hunted and killed for food by another animal,C2,Presa
12,Animals,Sting,"if an insect, plant, or animal stings, it produces a small painful injury, usually with a poison, by brushing against the skin or making a very small hole in the skin",none ,Picada
13,Animals,Swarms,A large amount of insects all moving together,none ,Enxame
14,Animals,Tail,"a part of an animal’s body, sticking out from the base of the back, or something similar in shape or position.",B2,Rabo
15,Animals,Tortoise,"an animal with a thick, hard shell that it can move its head and legs into for protection. It eats plants, moves very slowly, and sleeps during the winter.[",none ,Tartaruga
16,Animals,Tusk,"either of two long, pointed teeth of some animals such as elephants",none ,Dente comprido
17,Animals,Webbed,"if a bird or animal has webbed feet, its toes are connected by skin to help it when swimming",none ,Pé de pato
18,Animals,Wasp ,"a flying insect, often black and yellow, that can sting (=produce a small, painful skin injury)",B2,Vespa
19,Animals,Wombat,"an Australian mammal with strong, short legs that it uses for digging",none ,Vombate
20,People,Amusement,an activity that you can take part in for entertainment,B2,Diversão
21,People,Appeal,"a request to the public for money, information, or help",C1,Apelo
22,People,Awe,a feeling of great respect sometimes mixed with fear or surprise,C2,Reverência
23,People,Bemoan ,to complain or express sadness about something ,none,Lamentar 
24,People,Berserk,very angry or out of control,none ,Furioso
25,People,Besiege,"to surround a place, especially with an army, to prevent people or supplies getting in or out",none ,Sitiada
26,People,Bitterly,in a way that shows strong negative emotion such as anger or disappointment,none ,Amargamente
27,People,Blunt,saying exactly what you think without caring if you upset people,C2,Franco
28,People,Brawny,physically strong and with big muscles,none,força física
29,People,Childish ,"If an adult is childish, they behave badly in a way that would be expected of a child",B2,Infantil
30,People,Clumsy,"A person who often has accidents because they do not behave in a careful, controlled way",B2,Desajeitado
31,People,Craving,strong feeling of wanting something.,C2,Desejo
32,People,Cringe,o feel very embarrassed ,informal,Encolher
33,People,Dare,"to be brave enough to do something difficult or dangerous, or to be rude or silly enough to do something that you have no right to do ",B2,Ousadia
34,People,Dread,A strong feeling of fear or worry.,none ,Pavor
35,People,Envious,wishing you had what another person has,none ,Invejoso
36,People,Eyesight,the ability to see,B2,Visão
37,People,Fiddle,"o act dishonestly in order to get something for yourself , or to change something dishonestly, especially to your advantage",none ,Adulterar 
38,People,Fidget,"to make continuous, small movements that annoy other people",none ,Inquietação
39,People,Fiery,"flaming or extremely bright, hot, or a red color like fire",none ,Ardente
40,People,Fuss,"a show of anger, worry, or excitement that is unnecessary or greater than the situation deserves",C1,Alvoroço
41,People,Gasp,"to take a short quick breath through the mouth, especially because of surprise, pain or shock",C2,Suspiro
42,People,Good Fun,a person how is nice to be with because they are happy and amusing,none ,Gente boa
43,People,Giggle,"to laugh repeatedly in a quiet but uncontrolled way, often at something silly or rude or when you are nervous",C2,Rir de desespero/bobeira
44,People,Grievous,having very serious effects or causing great pain.,none ,Doloroso
45,People,Hamper,to prevent someone doing something easily,none,"prejudicar, atrapalhar"
46,People,Heed,"to pay attention to something, especially advice or a warning",none,Prestar atenção a
47,People,Lacklustre,without energy and effort,none,"sem convicção, sem graça"
48,People,Malaise,"A general feeling of being ill or having no energy, or an uncomfortable feeling that something is wrong, especially with society, and that you cannot change the situation 
",none ,Mal-estar
49,People,Nerve-(w)racking,Something that is difficult to do and causes a lot of worry for the person involved in it: ,none,Angustiante
50,People,Nod,to move your head up and down as a way of agreeing,none ,Aprovar
51,People,Nosy,always trying to find private things about other people,C2,Intrometido
52,People,Plight,"an unpleasant condition, especially a serious, sad, or difficult one",C2,Situação dificil
53,People,Rapport,a good understanding of someone and an ability to communicate well,none ,Boa relação
54,People,Sheer,"used to emphasize how very great, important, or powerful a quality or feeling is",C1,Absoluto
55,People,Skinny,very thin (Mainly disapproving),informal,Magra
56,People,Slam,to (cause to) move against a hard surface with force and usually a loud noise,B2,bater com
57,People,Slim,Especially of people attractively thin,A1,Esbelto
58,People,Stingy,not generous,informal,Mesquinho
59,People,Strut,to walk in a proud way trying to look important,none ,Desfilar
60,People,Shouting,"(of a person) utter a loud call or cry, typically as an expression of a strong emotion.",none ,Gritando
61,People,Shrug,to raise your shoulders and then lower them in order to say you do not know or are not interested,C2,Dar de ombros
62,People,Tenure,"being the legal owner of land, a job, or an official public position, or the period of time during which you own it",none,Posse
63,People,Thrive,"to grow, develop, or be sucessful ",C1,"Desenvover-se, Crescer bem"
64,People,Urge,"a strong wish, especially one that is difficult or impossible to control",C2,"Anseio, ânsia"
65,People,Wary ,not completely trusting or certain about something or someone,C2,Receoso
66,People,Wound,"a damaged area of the body, such as a cut or hole in the skin or flesh made by a weapon",B2,Ferida
67,Education ,Page-turner,a book that is so exciting that you want to read it quickly,none ,Similar a Livro Interessante
68,Education ,Kindergarten,a nursery school ,none,Creche
69,Education ,Pupil ,"a person, especially a child at school, who is being taught: ",none,Aluno
70,Family/Friends,Beau,a boyfriend,old-fahsioned,Namorado
71,Family/Friends,Breadwinner,the member of a family who earns the money that the family needs,none ,Chefe de família
72,Family/Friends,Folks,people ,none ,Pessoas
73,Family/Friends,Foster,"to look after a child as part of your family for a time, without becoming their legal parent",,"Adotar, Criar, Cuidar"
74,Family/Friends,Grow apart,"to have less close relationship, usually because they no longer have the same interests and want the same things",none ,Crescer à parte
75,Family/Friends,Get on with somebody,know somebody well and see or talk to them often,none ,Ser próximo
76,Family/Friends,kinfolk,members of the same family,old-fahsioned,"""meus sangue"""
77,Family/Friends,Look up somebody,respect somebody / someone,none ,Ter respeito para alguém
78,Family/Friends,Naughty,A child who behaves badly,B2,Malcriado
79,Family/Friends,other half," a person’s husband, wife, or usual partner - informal
",informal,Outra metade
80,Family/Friends,Parenting,the raising of children and all responsibilities and activities that are involved in it,none ,"""Criar filhos"""
81,Family/Friends,Pram,a vehicle for moving a baby around that consists of a small bed supported by a frame on four wheels.,none ,Carrinho de bebê
82,Family/Friends,Sibling,brother or sister,C2,Irmãos e Irmãs
83,Family/Friends,Take after someone,to be similar to an older person in your family,none ,Puxar alguém
84,Family/Friends,Toddler,A child who just learned to walk,C2,aprendendo a andar
85,Family/Friends,Upbringing,"the way in which you are treated and educated when young, especially by your parents, especially in relation to the effect that this has on how you behave and make moral decisions",B2,Educação
86,Family/Friends,Well brought up,"People, especially children, who are well brought up are polite and act in a quiet and pleasant way, because they have been taught this behaviour at home.",none ,"""Bem criado"""
87,Food,Brew,"to make beer by soaking, boiling, and fermentation ",none ,
88,Food,Cauliflower,"a large, round, white vegetable that is eaten cooked or uncooked.",none ,Couve-flor
89,Food,Forage,to go from place to place searching for things that you can eat or use.,none,"Buscar, Vasculhar"
90,Food,Icing,a sweat mixture used to cover or fill cakes,none ,Glacê
91,Food,Pea,"a round, green seed, several of which grow in a pod, eaten as vegetable",none ,Ervilha
92,Food,Pod,"a long narrow, flat part of some plants, such as beans and peas, that contains the seeds and usually has a thick skin",none ,Vagem
93,Food,Refreshments,"drinks and food that are given at a meeting, on a journey, etc.",B1,Lanches (Comida e bebida)
94,Food,Roasters,"A container, oven, furnace, or apparatus for roasting something",none ,Torrador
95,Food,Scoop,A tool with a deep bowl-shaped end that is used to dig out and move a soft substance of powder,none ,Colher de sorvete
96,Food,Simmering,"to cook something that is very hot, but does not boil, or to be cooked in this way",none ,Cozinhar em fogo brando
97,Food,Snack,"a small amount of food that is eaten between meals, or a very small meal",A2,"Petisco, lanche"
98,Food,Savoury,food is salty or spicy and not sweet in taste,none ,Salgado
99,Food,Sizzle,to make a sound like food cooking in hot fat,none ,"Chiar no ""óleo"""
100,Food,Straw,a thin tube made of plastic or waterproof paper that is used suck liquid into the mouth,C1,Canudo
101,House,Cottage,"a small house, usually in the countryside",B1,Chalé
102,House,Cupboard,"a piece of furniture or a small part of a room with a door or doors behind which there is space to store things , usually on shelves ",A2,Cristaleira
103,House,Fence,a wood or metal structure that goes around an area,none ,Cerca
104,House,Hut,"a small, simple building, usually consisting of one room",B1,Cabana
105,House,Mop,"a stick with soft material attached to one end, especially for used for washing floors. ",none ,Esfregão
106,House,Stove,"a piece of equipment that burn fuel or uses electricity in order to heat a place. 
",none ,Fogão
107,House,Tenancy,the right to use land or live in a building in exchange for rent.,none ,Locação
108,House,Tenant,a person who pays rent for the use of land or a building ,C2,Inquilina/Inquilino
109,Plant,Barn ,Is a building on a farm which crops or animals food can be kept ,C2,Celeiro
110,Plant,Beech,"a tree with a smooth, grey trunk and small nuts, or the wood from this tree.",none ,faia
111,Plant,Bush,"a plant with many small branches growing either directly from the ground or from a hard stem, giving the plant a rounded shape ",B2,Arbusto
112,Plant,Crops,"(the total amount of) a plant such as grain, fruit, or vegetable grown in large amounts ",B1,Cultura
113,Plant,Harvest,"The time of the year when crops are cut and collected from the fields, or the activity of cutting and collecting them or the crops that are cut and collected ",B1,Colheita
114,Plant,Reap,to cut and collect a grain crop,none,Colher  
115,Plant,Scarecrow,a model of a person dressed in old clothes and put in a field of growing crops to frighten birds away ,none ,Espantalho
116,Plant,Trunk,"the thick main stem of a tree, from which its branches grow",B2,Tronco
117,Art/Music/Film,Aesthetic,relating to the enjoyment or study of beauty,none,Estético
118,Art/Music/Film,Chant,to repeat or sing a word or phrase continuously,none ,Canto
119,Art/Music/Film,Carving,a shape or pattern cut into wood or stone or the skill of doing this,none ,Escultura
120,Art/Music/Film,Dye,to change the color of something using special liquid ,none ,Tintura
121,Art/Music/Film,Genre,"style, especially in the arts, that involves a particular set of characteristics 
",none ,Estilo
122,Art/Music/Film,Gig,"single performance by a musician or group of musicians, especially playing modern or pop music",none ,Apresentação
123,Art/Music/Film,Rave,"to speak in an uncontrolled way, usually because you are upset or angry, or because you are ill: 
",none ,Enfurecer-se
124,Art/Music/Film,rom com,romantic comedy: a film or television programme about love that is intended to make you laugh. ,none ,Comédia Romântica
125,Art/Music/Film,star-studded,"When a group of people, a film, or a show have a lot of famous people in it.",none ,Cravejado de Estrelas
126,Art/Music/Film,Tale ,,B2,Conto
127,Art/Music/Film,The charts,the lists produced each week of the records with the highest sales,none,Músicas mais tocadas
128,Art/Music/Film,Tune,"a series of musical notes, especially one that is pleasant and easy to remember.",A2,Afinação
129,Clothes/Sports,Buckle,"a piece of metal at one end of a belt or strap, used to fasten the two ends together",none,Fivela
130,Clothes/Sports,Embroidery,patterns or pictures that consist of stitches sewn  directly onto cloth,none,Bordado
131,Clothes/Sports,Fabric,"cloth or material for making clothes, covering furniture",C2,Tecido
132,Clothes/Sports,Exhilarating,making you feel very excited and happy,none,Empolgante
133,Clothes/Sports,Header,the act of hitting the ball with your head in football,none,Cabeçada
134,Clothes/Sports,Knot,"a place where pieces of string, rope, etc. Have been tied together",none,Nó
135,Clothes/Sports,Mat,small piece of strong material that covers and protects part of a floor,C1,Tatame/Tapete
136,Clothes/Sports,Nappy,a thick piece of paper or cloth worn by a baby on its bottom,none,Fralda
137,Clothes/Sports,Pitch,"field an area painted with lines for playing particular sports, especially football",B2,Quadra
138,Clothes/Sports,Referee, a person who is in charge of a sports game and who makes certain that the rules are followed,B2,Arbitro
139,Clothes/Sports,Tights,"a piece of clothing made of thin material that covers the legs and lower part of the body below the waist, worn by women and girls",A2,Collants/Calça Justas
140,Clothes/Sports,Trousers,"a piece of clothing that covers the lower part of the body from the waist to the feet, consisting of two cylinder-shaped parts, one for each leg, that are joined at the top",A1,Calças
141,Clothes/Sports,Stroll,"to walk in a slow, relaxed manner, especially for pleasure",C1,pequeno passeio/giro
142,Clothes/Sports,Umpire,"a person who is present at a sport competition in order to make certain that the rules of particular game are obeyed and to judge if particular actions are acceptable (a cricket/tennis)
",none,Juiz Cricket/Tênis
143,Clothes/Sports,Weave,make a cloth by repeatedly crossing a single thread through two sets of long threads on a loom (=special frame),,Tecer
144,Weather,Boiling,(of a liquid) heated to the point when it starts to turn into a gas (ebulição),none,Ebulição
145,Weather,Biting ,"use to describe weather that is extremely cold, especially when it causes you physical pain",none,Frio cortante
146,Weather,Drizzle,"rain in very small, light drops.",none,Chuvisco/Garoa
147,Weather,Damp,"slightly wet, especially in a way that is not pleasant or comfortable",B2,Úmido
148,Weather,Drench,to make someone or something extremely wet,none,Encharcado
149,Weather,Hall,"small, hard balls of ice that fall from the sky like rain",C2,Granizo
150,Weather,Mild,"not violent, severe or extreme",C1,Suave
151,Weather,Soaked,extremely wet,B2,Encharcado
